Test_nr,T_0,T_c,T_sh,V_exp,T_sup,T_suc,T_ret,T_dis,P_suc,P_dis,EvapFanSpeed,Cpr,CondFanSpeed,Faulty,HeatLoad,T_set,Cpr_Scale
1,-3.958536,33.849734,9.3125924,25.312611,-0.21474032,5.2574956,8.3960056,44.665855,2.5481287,8.597232,84.541986,56.186006,76.108161,0,10000,0,1
1,-3.7750355,33.879414,8.6379492,24.777932,-0.089393907,5.1843049,8.4071089,44.536792,2.5606988,8.5986849,84.317565,56.248228,76.43793,0,10000,0,1
1,-3.6434026,33.885457,10.252762,25.550333,0.034131389,5.1356226,8.413007,44.497332,2.5654842,8.6027462,83.424329,56.527281,76.505081,0,10000,0,1
1,-3.5934216,33.902346,12.816188,27.241545,0.092086911,5.0976604,8.4109211,44.476657,2.5649155,8.6021588,82.547268,56.803485,76.692733,0,10000,0,1
1,-3.5993575,33.899904,9.924401,26.087473,0.029100037,5.0263147,8.401883,44.369346,2.5654208,8.6001133,82.135693,56.933864,76.665595,0,10000,0,1
1,-3.594083,33.891398,7.6845793,24.695364,-0.086947255,4.8953001,8.3909682,44.270875,2.5657571,8.6045725,82.577465,56.794057,76.571087,0,10000,0,1
1,-3.590573,33.909938,7.9736747,24.330161,-0.13084008,4.7617989,8.3847112,44.292963,2.5659893,8.6115204,83.392927,56.535331,76.777093,0,10000,0,1
1,-3.5881498,33.938813,9.9616263,25.045247,-0.069559625,4.6852783,8.3863902,44.372121,2.566965,8.6140768,83.700625,56.435899,77.097917,0,10000,0,1
1,-3.5779696,33.949432,10.119289,25.278118,0.026564791,4.662733,8.3920891,44.401398,2.5678201,8.6110251,83.266962,56.570779,77.21591,0,10000,0,1
1,-3.5690502,33.936755,7.5045664,24.173771,0.06760147,4.6527478,8.3947675,44.419818,2.5654995,8.6111882,82.586646,56.783775,77.075052,0,10000,0,1
1,-3.5932623,33.937433,7.2325166,23.780437,0.070339752,4.647441,8.391553,44.529184,2.5576669,8.614873,82.293917,56.875264,77.082584,0,10000,0,1
1,-3.6751072,33.952739,7.1775155,23.477141,0.09240848,4.6734209,8.3855989,44.714348,2.5473386,8.6168219,82.27364,56.882264,77.252653,0,10000,0,1
1,-3.783326,33.960833,8.7904207,24.000914,0.14162492,4.7375971,8.3807872,44.929633,2.5351603,8.6174943,82.121173,56.932221,77.342584,0,10000,0,1
1,-3.9113665,33.963625,9.6304927,24.472329,0.18473929,4.8289198,8.3774245,45.099719,2.5224589,8.6138689,81.779358,57.042951,77.373611,0,10000,0,1
1,-4.0454132,33.948569,12.158172,25.847329,0.17248668,4.9231325,8.3737062,45.243665,2.5101006,8.6109448,81.480358,57.141461,77.206317,0,10000,0,1
1,-4.1763404,33.936421,8.7942733,24.802047,0.08191476,4.9998048,8.3690405,45.296133,2.5027949,8.6055831,81.569672,57.117744,77.071346,0,10000,0,1
1,-4.2539728,33.91414,8.8886233,24.629308,-0.019020642,5.0534,8.36555,45.340778,2.4988898,8.6048362,82.207731,56.919139,76.823773,0,10000,0,1
1,-4.2955419,33.911034,13.001949,26.350422,-0.023764758,5.115732,8.3666228,45.378036,2.4987495,8.6029188,82.916595,56.69654,76.789272,0,10000,0,1
1,-4.2970357,33.903064,6.9283423,24.093554,-0.015690436,5.1766811,8.3727634,45.29432,2.5047443,8.5967136,82.948342,56.68584,76.700706,0,10000,0,1
1,-4.2332408,33.877257,9.193115,24.649019,-0.0034451507,5.222525,8.3790168,45.287454,2.5069288,8.6006196,82.886212,56.703366,76.41397,0,10000,0,1
1,-4.2100232,33.893503,6.5788324,23.503245,0.074196803,5.2876515,8.3825681,45.302571,2.5070862,8.5971975,82.793167,56.730111,76.594481,0,10000,0,1
1,-4.2083503,33.87927,8.2729598,23.89185,0.15365028,5.3624031,8.3837182,45.401936,2.5014465,8.600436,82.244089,56.900558,76.436337,0,10000,0,1
1,-4.2683201,33.89274,6.9422553,23.365162,0.23020258,5.452062,8.3814244,45.525236,2.4915505,8.5983075,81.684809,57.076599,76.585996,0,10000,0,1
1,-4.3738021,33.883887,11.40685,25.000336,0.26514948,5.5449829,8.3758447,45.705179,2.4771298,8.599184,81.149336,57.248816,76.487639,0,10000,0,1
1,-4.5280945,33.887533,7.081023,23.721276,0.22804481,5.6316312,8.3679951,45.814503,2.4646316,8.5908543,80.908935,57.331705,76.528145,0,10000,0,1
1,-4.6623794,33.852877,9.5627748,24.375415,0.15619569,5.7053006,8.3604903,45.965671,2.4529444,8.5921275,81.175608,57.255307,76.143078,0,10000,0,1
1,-4.788427,33.858176,8.6031862,24.060879,0.14338561,5.7857921,8.356649,46.066385,2.445111,8.5870495,81.685499,57.10005,76.201952,0,10000,0,1
1,-4.8731714,33.837039,8.4358391,23.942963,0.15384945,5.8670983,8.357861,46.150459,2.4398852,8.5841358,81.779884,57.074356,75.967095,0,10000,0,1
1,-4.9298226,33.824906,14.430892,26.400108,0.19531645,5.9523158,8.361106,46.230369,2.4347871,8.5811074,81.70771,57.100187,75.832289,0,10000,0,1
1,-4.9851804,33.812293,8.5032867,24.784528,0.14529188,6.022473,8.3633354,46.187432,2.4352436,8.5729326,81.41665,57.195534,75.69214,0,10000,0,1
1,-4.9802198,33.778227,10.478677,25.321529,0.034813399,6.0647997,8.3627818,46.158714,2.4372647,8.5735034,81.766196,57.087621,75.313638,0,10000,0,1
1,-4.9582667,33.780607,10.0029,25.123393,0.0081282372,6.1066276,8.3627195,46.101946,2.4422795,8.5709234,82.539049,56.844015,75.340078,0,10000,0,1
1,-4.9038556,33.769851,12.014489,26.00447,0.014659036,6.1437039,8.3669951,46.017678,2.4497206,8.569835,82.724373,56.785293,75.220569,0,10000,0,1
1,-4.8232781,33.765313,8.6912593,24.91959,0.018500289,6.1717943,8.3728998,45.891101,2.4594509,8.5671549,82.673795,56.799807,75.170145,0,10000,0,1
1,-4.7181969,33.754137,10.326383,25.36277,0.016957129,6.1860067,8.376576,45.809355,2.4667289,8.5693281,82.639444,56.808438,75.045964,0,10000,0,1
1,-4.6398081,33.7632,13.88513,27.131579,0.040385273,6.1990334,8.3779657,45.737887,2.4727673,8.5691368,82.642629,56.805259,75.146663,0,10000,0,1
1,-4.574907,33.762402,9.2918661,25.622723,-0.014420532,6.1880249,8.3780578,45.575704,2.4827289,8.5661419,82.472175,56.856891,75.137796,0,10000,0,1
1,-4.4681056,33.749912,12.634722,26.948577,-0.097087681,6.1420705,8.3767745,45.445525,2.4922125,8.5706157,82.85023,56.737365,74.999018,0,10000,0,1
1,-4.3667364,33.768569,9.8707475,25.868069,-0.13085487,6.083765,8.376723,45.262808,2.5059204,8.5699552,83.423502,56.556179,75.206317,0,10000,0,1
1,-4.2207389,33.765814,10.968359,26.213706,-0.14314398,6.0016348,8.3800368,45.087973,2.519407,8.5742445,83.65365,56.48049,75.175714,0,10000,0,1
1,-4.0776994,33.783696,10.952296,26.265669,-0.10907705,5.9153747,8.3847675,44.921515,2.5325758,8.5765184,83.730604,56.451137,75.3744,0,10000,0,1
1,-3.9386005,33.793173,5.8645802,23.945866,-0.082485494,5.8152875,8.3883411,44.751826,2.5438467,8.579635,83.481077,56.523426,75.479697,0,10000,0,1
1,-3.8199908,33.806159,9.9833151,25.161525,-0.029402932,5.7181492,8.3890735,44.75351,2.5465853,8.5918771,83.283922,56.58001,75.623986,0,10000,0,1
1,-3.7912324,33.857134,9.1532527,24.900768,0.052947123,5.6597895,8.3874084,44.766953,2.5472305,8.5910091,82.903212,56.695033,76.190374,0,10000,0,1
1,-3.7844607,33.853521,6.7531506,23.868382,0.07504962,5.6075872,8.3836617,44.79676,2.5440922,8.5939868,82.321088,56.87445,76.150238,0,10000,0,1
1,-3.8174124,33.865913,10.084359,24.892775,0.085503273,5.5685915,8.3772728,44.927907,2.5360623,8.6003401,82.163844,56.923484,76.287921,0,10000,0,1
1,-3.9018661,33.892341,11.591515,25.752091,0.094166791,5.5534615,8.3706974,45.017823,2.5290474,8.5984447,82.091108,56.947467,76.581567,0,10000,0,1
1,-3.975815,33.884458,7.4807228,24.328897,0.040538558,5.5317864,8.3658246,45.0379,2.5251595,8.597439,82.032711,56.967747,76.493977,0,10000,0,1
1,-4.0168679,33.880275,11.630435,25.739466,-0.0078662926,5.5037449,8.3625298,45.0995,2.5209073,8.6009387,82.409831,56.852235,76.447498,0,10000,0,1
1,-4.0618238,33.89483,8.1397103,24.512057,-0.016362906,5.4895882,8.3621476,45.097854,2.5216249,8.5981662,82.748843,56.747542,76.609226,0,10000,0,1
1,-4.0542327,33.8833,7.0222389,23.792629,-0.01420567,5.4750525,8.3646715,45.110043,2.5215763,8.600253,82.806482,56.729018,76.481109,0,10000,0,1
1,-4.0547469,33.891979,10.996263,25.10127,0.056447003,5.4870199,8.3677364,45.19236,2.5186735,8.6022176,82.786984,56.733483,76.577542,0,10000,0,1
1,-4.0854634,33.900148,10.707657,25.378359,0.1180836,5.5193746,8.3696965,45.230002,2.5155316,8.5989619,82.287339,56.886065,76.66831,0,10000,0,1
1,-4.1187409,33.886609,11.710665,26.123961,0.085643247,5.5363585,8.3682674,45.240553,2.5119071,8.597546,81.852202,57.020464,76.517881,0,10000,0,1
1,-4.1571706,33.88072,9.402379,25.374685,-0.0054122711,5.5303555,8.3633692,45.207342,2.5111774,8.5956621,82.077878,56.952204,76.452444,0,10000,0,1
1,-4.1649122,33.872883,8.9734479,24.991596,-0.088427365,5.5029177,8.3594761,45.17168,2.5131963,8.596702,82.71598,56.756644,76.365366,0,10000,0,1
1,-4.1434969,33.877209,11.730389,25.961691,-0.086507933,5.4826128,8.3605812,45.146462,2.5175234,8.5972858,83.296824,56.577311,76.413433,0,10000,0,1
1,-4.0976415,33.879638,7.2707319,24.340198,-0.050613401,5.4701106,8.3661195,45.059179,2.524764,8.5948211,83.279284,56.579993,76.440419,0,10000,0,1
1,-4.0210465,33.869384,7.6729936,24.127512,-0.0087294444,5.455682,8.3713728,45.044826,2.5271553,8.599336,83.020371,56.656149,76.326491,0,10000,0,1
1,-3.9957878,33.888165,9.1385253,24.496792,0.075590546,5.4671964,8.3731764,45.104211,2.5249768,8.6007037,82.718763,56.745686,76.535166,0,10000,0,1
1,-4.0187987,33.893853,8.7437729,24.435339,0.13382475,5.4954641,8.37165,45.172353,2.5194931,8.5991955,82.122669,56.927041,76.598368,0,10000,0,1
1,-4.0767884,33.887581,9.438158,24.70438,0.13841062,5.5255007,8.3668114,45.261429,2.5113059,8.5987408,81.712753,57.053986,76.528673,0,10000,0,1
1,-4.1635486,33.885689,7.3867753,24.005503,0.10649486,5.5540943,8.359753,45.352728,2.5029242,8.5976883,81.681664,57.06647,76.507661,0,10000,0,1
1,-4.2525971,33.881312,9.7719025,24.56392,0.082483332,5.585758,8.3538734,45.469347,2.4946512,8.5984966,81.908483,57.000014,76.459023,0,10000,0,1
